strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r,hour,session,atr14,atr_pct_rank,vol_bucket,ema55_slope_norm,trend_bucket,close,ema55,vwap
PEM,M15,long,2025-05-21 03:30:00+00:00,2025-05-21 07:15:00+00:00,3294.645,3294.095,3275.915,3332.105,13,timeout,-0.029364655632684537,3,Asia,4.563063908063433,0.20833333333333334,LowVol,1.226850160038723,Strong,3291.365,3264.1003483327577,3287.8051956418917
PEM,M15,long,2025-05-21 13:15:00+00:00,2025-05-21 16:15:00+00:00,3313.955,3308.048,3298.145,3345.575,13,timeout,-0.3736242884250584,13,NY_Overlap,6.441757753030681,0.7083333333333334,HighVol,0.5589973508592191,Strong,3315.035,3291.4506242201155,3298.2120769671665
PEM,M15,long,2025-05-22 02:45:00+00:00,2025-05-22 06:30:00+00:00,3323.498,3322.245,3301.635,3367.2239999999997,13,timeout,-0.05731143941820273,2,Asia,5.6271312053684115,0.2708333333333333,LowVol,0.4082202621062078,Strong,3322.345,3308.3246776107776,3314.9940859771577
PEM,M15,long,2025-05-23 11:15:00+00:00,2025-05-23 12:00:00+00:00,3302.748,3314.788,3296.728,3314.788,4,tp,2.0,11,London,5.726970795261328,0.4583333333333333,MidVol,0.03616447959922153,Flat,3306.598,3300.632247079059,3297.762015221065
PEM,M15,long,2025-05-23 12:45:00+00:00,2025-05-23 14:00:00+00:00,3319.005,3332.545,3312.235,3332.545,6,tp,2.0,12,London,5.353277579296279,0.2916666666666667,LowVol,0.4952876303831611,Strong,3319.685,3303.7235075646972,3300.4830274062347
PEM,M15,short,2025-05-26 07:15:00+00:00,2025-05-26 09:45:00+00:00,3343.615,3350.398,3350.398,3330.048999999999,11,sl,-1.0,7,London,5.8112226272967655,0.6041666666666666,MidVol,-0.1461118877133731,Moderate,3334.335,3347.777499992418,3345.1596401274896
PEM,M15,long,2025-05-27 00:00:00+00:00,2025-05-27 06:15:00+00:00,3342.048,3346.298,3335.285,3355.5739999999996,13,timeout,0.6284193405293583,0,Asia,3.4313744996341127,0.010416666666666666,LowVol,0.11883260402120367,Moderate,3341.448,3338.1289344534043,3341.891333333333
PEM,M15,short,2025-05-27 12:15:00+00:00,2025-05-27 14:00:00+00:00,3331.395,3311.8889999999997,3341.148,3311.8889999999997,8,tp,2.0,12,London,3.956583361654164,0.3958333333333333,MidVol,-0.26537090983537637,Strong,3329.718,3340.322442722435,3341.0107374174063
PEM,M15,short,2025-05-27 18:30:00+00:00,2025-05-27 21:30:00+00:00,3292.965,3295.755,3308.195,3262.505,13,timeout,-0.18319107025607093,18,NY_Late,6.49977406387661,0.8541666666666666,HighVol,-0.7423109470964472,Strong,3291.848,3317.9854673959935,3320.577735665458
PEM,M15,long,2025-05-28 06:45:00+00:00,2025-05-28 09:00:00+00:00,3308.615,3299.985,3299.985,3325.874999999999,10,sl,-1.0,6,Asia,3.692294322350887,0.20833333333333334,LowVol,0.12528354957502016,Moderate,3310.548,3304.7042516296897,3303.1665716448983
PEM,M15,long,2025-05-28 12:45:00+00:00,2025-05-28 15:45:00+00:00,3306.688,3317.225,3294.135,3331.794,13,timeout,0.8394009400143316,12,London,5.105896239666383,0.4583333333333333,MidVol,-0.041393676362568,Flat,3306.908,3303.786334754883,3303.6571780521026
PEM,M15,short,2025-05-28 22:45:00+00:00,2025-05-29 01:45:00+00:00,3293.215,3299.595,3313.098,3253.4490000000005,13,timeout,-0.32087713121760875,22,NY_Late,6.052542484632336,0.90625,HighVol,-0.32282168881409956,Strong,3295.025,3307.668743988632,3306.7926157435145
PEM,M15,short,2025-05-29 06:00:00+00:00,2025-05-29 06:30:00+00:00,3285.198,3261.5839999999994,3297.005,3261.5839999999994,3,tp,2.0,6,Asia,5.540931138578054,0.8125,HighVol,-0.4477324882036865,Strong,3285.448,3298.757312128162,3294.9491610026
