strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r,session,hour,atr_pct_rank
PEM_M15_V2,M15,long,2021-12-23 01:15:00+00:00,2021-12-23 04:15:00+00:00,1799.899,1804.178,1797.338,1805.0209999999997,13,timeout,1.6708317063648397,Asia,1,0.7916666666666666
PEM_M15_V2,M15,long,2021-12-24 01:30:00+00:00,2021-12-24 04:30:00+00:00,1808.595,1808.748,1806.108,1813.5690000000002,13,timeout,0.06151990349819666,Asia,1,0.8229166666666666
PEM_M15_V2,M15,long,2021-12-28 03:15:00+00:00,2021-12-28 07:00:00+00:00,1809.019,1812.428,1806.935,1813.1870000000001,13,timeout,1.6357965451055698,Asia,3,0.7083333333333334
PEM_M15_V2,M15,long,2021-12-28 18:15:00+00:00,2021-12-28 21:15:00+00:00,1817.339,1814.788,1814.788,1822.4409999999998,13,sl,-1.0,NY_Late,18,0.3958333333333333
PEM_M15_V2,M15,short,2021-12-29 04:30:00+00:00,2021-12-29 08:15:00+00:00,1805.248,1804.318,1807.338,1801.0680000000002,13,timeout,0.4449760765550718,Asia,4,0.7083333333333334
PEM_M15_V2,M15,long,2021-12-31 20:45:00+00:00,2021-12-31 23:45:00+00:00,1825.608,1825.564,1818.604,1839.6159999999998,13,timeout,-0.006282124500266937,NY_Late,20,0.75
PEM_M15_V2,M15,long,2022-01-01 02:00:00+00:00,2022-01-01 05:00:00+00:00,1827.564,1829.058,1821.818,1839.0560000000003,13,timeout,0.26000696136440826,Asia,1,0.8541666666666666
PEM_M15_V2,M15,long,2022-01-03 17:30:00+00:00,2022-01-03 19:00:00+00:00,1827.169,1822.478,1822.478,1836.5510000000002,7,sl,-1.0,NY_Late,17,0.4166666666666667
PEM_M15_V2,M15,short,2022-01-03 20:45:00+00:00,2022-01-03 23:45:00+00:00,1811.734,1798.708,1822.264,1790.674,13,timeout,1.237037037037025,NY_Late,20,0.8854166666666666
PEM_M15_V2,M15,long,2022-01-05 00:45:00+00:00,2022-01-05 03:45:00+00:00,1814.365,1813.925,1811.518,1820.059,13,timeout,-0.1545486476993529,Asia,0,0.8645833333333334
PEM_M15_V2,M15,long,2022-01-05 18:45:00+00:00,2022-01-05 21:45:00+00:00,1820.288,1828.118,1814.688,1831.4879999999998,13,timeout,1.3982142857142954,NY_Late,18,0.5208333333333334
PEM_M15_V2,M15,long,2022-01-08 00:15:00+00:00,2022-01-08 03:15:00+00:00,1794.265,1796.478,1789.348,1804.0990000000004,13,timeout,0.4500711816147856,Asia,0,0.9479166666666666
PEM_M15_V2,M15,long,2022-01-10 17:45:00+00:00,2022-01-10 19:45:00+00:00,1799.738,1796.458,1796.458,1806.298,9,sl,-1.0,NY_Late,17,0.53125
PEM_M15_V2,M15,short,2022-01-11 21:30:00+00:00,2022-01-11 23:00:00+00:00,1802.395,1809.695,1809.695,1787.795,7,sl,-1.0,NY_Late,21,0.75
PEM_M15_V2,M15,long,2022-01-12 02:00:00+00:00,2022-01-12 05:00:00+00:00,1818.878,1821.228,1814.778,1827.0779999999997,13,timeout,0.5731707317073631,Asia,1,0.84375
PEM_M15_V2,M15,short,2022-01-18 23:45:00+00:00,2022-01-19 02:45:00+00:00,1812.198,1815.414,1820.048,1796.4980000000003,13,timeout,-0.4096815286624117,NY_Late,23,1.0
PEM_M15_V2,M15,long,2022-01-19 23:15:00+00:00,2022-01-20 02:15:00+00:00,1838.877,1841.808,1815.568,1885.495,13,timeout,0.12574542022394972,NY_Late,23,0.8229166666666666
PEM_M15_V2,M15,short,2022-01-21 03:45:00+00:00,2022-01-21 07:30:00+00:00,1838.938,1838.378,1843.658,1829.4980000000005,13,timeout,0.1186440677966518,Asia,3,0.6875
PEM_M15_V2,M15,short,2022-01-22 03:30:00+00:00,2022-01-24 07:15:00+00:00,1828.915,1833.858,1842.728,1801.2889999999998,13,timeout,-0.35785129950046674,Asia,3,0.7395833333333334
PEM_M15_V2,M15,long,2022-01-25 01:45:00+00:00,2022-01-25 04:45:00+00:00,1841.878,1842.968,1832.438,1860.7579999999996,13,timeout,0.11546610169493278,Asia,1,0.84375
PEM_M15_V2,M15,short,2022-01-27 18:30:00+00:00,2022-01-27 21:30:00+00:00,1810.288,1799.648,1816.774,1797.3160000000003,13,timeout,1.6404563675609471,NY_Late,18,0.3020833333333333
PEM_M15_V2,M15,long,2022-02-01 00:30:00+00:00,2022-02-01 03:30:00+00:00,1797.875,1796.298,1790.978,1811.6689999999999,13,timeout,-0.22865013774104873,Asia,0,0.78125
PEM_M15_V2,M15,long,2022-02-01 18:00:00+00:00,2022-02-01 20:45:00+00:00,1806.835,1802.448,1802.448,1815.609,12,sl,-1.0,NY_Late,17,0.34375
PEM_M15_V2,M15,long,2022-02-02 20:30:00+00:00,2022-02-02 20:45:00+00:00,1806.012,1802.478,1802.478,1813.0799999999997,2,sl,-1.0,NY_Late,20,0.6041666666666666
PEM_M15_V2,M15,long,2022-02-08 02:00:00+00:00,2022-02-08 05:00:00+00:00,1820.538,1820.258,1814.588,1832.438,13,timeout,-0.04705882352940682,Asia,1,0.5104166666666666
PEM_M15_V2,M15,short,2022-02-08 18:45:00+00:00,2022-02-08 20:45:00+00:00,1817.628,1820.859,1820.859,1811.166,9,sl,-1.0,NY_Late,18,0.4895833333333333
PEM_M15_V2,M15,long,2022-02-09 23:45:00+00:00,2022-02-10 02:45:00+00:00,1830.769,1833.468,1827.488,1837.331,13,timeout,0.8226150563852822,NY_Late,23,0.9270833333333334
PEM_M15_V2,M15,short,2022-02-10 19:30:00+00:00,2022-02-10 20:30:00+00:00,1832.348,1830.3359999999998,1833.354,1830.3359999999998,5,tp,2.0,NY_Late,19,0.3333333333333333
PEM_M15_V2,M15,short,2022-02-11 02:45:00+00:00,2022-02-11 06:30:00+00:00,1831.764,1826.568,1836.774,1821.744,13,timeout,1.0371257485029786,Asia,2,0.8020833333333334
PEM_M15_V2,M15,long,2022-02-11 19:45:00+00:00,2022-02-11 22:45:00+00:00,1830.434,1834.608,1823.638,1844.026,13,timeout,0.614184814596814,NY_Late,19,0.4583333333333333
PEM_M15_V2,M15,long,2022-02-12 02:15:00+00:00,2022-02-14 06:00:00+00:00,1859.138,1860.248,1832.918,1911.578,13,timeout,0.04233409610984463,Asia,2,1.0
PEM_M15_V2,M15,long,2022-02-15 01:30:00+00:00,2022-02-15 04:30:00+00:00,1867.138,1871.824,1860.518,1880.3779999999997,13,timeout,0.707854984894294,Asia,1,0.625
PEM_M15_V2,M15,long,2022-02-17 00:00:00+00:00,2022-02-17 03:00:00+00:00,1864.508,1870.388,1854.818,1883.8880000000001,13,timeout,0.6068111455108203,NY_Late,23,0.6979166666666666
PEM_M15_V2,M15,long,2022-02-17 20:45:00+00:00,2022-02-17 23:45:00+00:00,1892.278,1897.043,1883.048,1910.738,13,timeout,0.5162513542795085,NY_Late,20,0.8541666666666666
PEM_M15_V2,M15,long,2022-02-18 00:45:00+00:00,2022-02-18 03:45:00+00:00,1898.178,1897.308,1892.888,1908.7580000000005,13,timeout,-0.16446124763706746,Asia,0,0.8125
PEM_M15_V2,M15,long,2022-02-21 06:45:00+00:00,2022-02-21 09:45:00+00:00,1904.891,1896.358,1890.588,1933.4970000000003,13,timeout,-0.5965881283646831,Asia,6,0.7083333333333334
PEM_M15_V2,M15,long,2022-02-21 17:30:00+00:00,2022-02-21 20:30:00+00:00,1896.823,1896.368,1887.796,1914.8770000000002,13,timeout,-0.050404342527988526,NY_Late,17,0.1875
PEM_M15_V2,M15,long,2022-02-21 23:15:00+00:00,2022-02-22 01:30:00+00:00,1895.568,1901.2679999999998,1892.718,1901.2679999999998,10,tp,2.0,NY_Late,23,0.17708333333333334
PEM_M15_V2,M15,short,2022-02-22 18:00:00+00:00,2022-02-22 20:30:00+00:00,1895.582,1901.028,1901.028,1884.6900000000003,11,sl,-1.0,NY_Late,17,0.9895833333333334
